### CROSS VALIDATION GLOBAL RESULTS ###

DATE                | ITERATIONS | RECORDS | TP    | TN    | FP    | FN    | ACCU. | SPEC. | SENS. | PREC. | GMEAN | AUC   | F1    | MCC    |
2015-01-10 18:08:15 | 10         | 1640    | 40.700 | 38.200 | 41.000 | 44.100 | 0.481 | 0.482 | 0.479 | 0.000 | 0.480 | 0.740 | 0.488 | -0.038 | 
2015-01-10 18:08:31 | 10         | 1640    | 40.500 | 39.700 | 42.000 | 41.800 | 0.489 | 0.487 | 0.494 | 0.000 | 0.489 | 0.747 | 0.491 | -0.020 | 
2015-01-10 18:12:54 | 10         | 1640    | 41.800 | 39.300 | 40.500 | 42.400 | 0.495 | 0.492 | 0.496 | 0.000 | 0.493 | 0.748 | 0.501 | -0.012 | 
2015-01-10 18:13:36 | 10         | 1640    | 41.000 | 40.300 | 44.000 | 38.700 | 0.496 | 0.476 | 0.516 | 0.000 | 0.494 | 0.758 | 0.496 | -0.008 | 
2015-01-10 18:24:36 | 10         | 1640    | 40.700 | 40.000 | 44.600 | 38.700 | 0.492 | 0.473 | 0.513 | 0.000 | 0.491 | 0.757 | 0.492 | -0.013 | 
2015-01-10 18:25:10 | 10         | 1640    | 42.400 | 39.200 | 40.900 | 41.500 | 0.498 | 0.489 | 0.507 | 0.000 | 0.497 | 0.754 | 0.507 | -0.004 | 
2015-01-10 18:25:37 | 10         | 1640    | 39.300 | 43.600 | 42.100 | 39.000 | 0.505 | 0.510 | 0.503 | 0.000 | 0.505 | 0.751 | 0.492 | +0.013 | 
2015-01-10 18:26:53 | 10         | 1640    | 40.900 | 39.300 | 42.000 | 41.800 | 0.489 | 0.480 | 0.497 | 0.000 | 0.487 | 0.748 | 0.495 | -0.023 | 
2015-01-10 18:27:28 | 10         | 1640    | 41.700 | 41.100 | 41.800 | 39.400 | 0.505 | 0.495 | 0.515 | 0.000 | 0.503 | 0.758 | 0.506 | +0.010 | 
2015-01-10 18:27:58 | 10         | 1640    | 39.900 | 39.000 | 44.100 | 41.000 | 0.481 | 0.468 | 0.494 | 0.000 | 0.480 | 0.747 | 0.483 | -0.038 | 
